,Unnamed: 0,question,image,choices,unit,precision,answer,question_type,answer_type,pid,metadata,query,origin_question,response,extraction,match,task
10,10,Subtract all red things. Subtract all tiny matte balls. How many objects are left?,images/11.jpg,,,,5,free_form,integer,11,"{'split': 'testmini', 'language': 'english', 'img_width': 320, 'img_height': 240, 'source': 'CLEVR-Math', 'category': 'math-targeted-vqa', 'task': 'math word problem', 'context': 'synthetic scene', 'grade': 'elementary school', 'skills': ['arithmetic reasoning']}","You are given a problem with image, please solve the problem step by step. 
Question:Subtract all red things. Subtract all tiny matte balls. How many objects are left?",Subtract all red things. Subtract all tiny matte balls. How many objects are left?,"Step 1: Identify the red objects. There is one red sphere.

Step 2: Subtract the red sphere.  We started with 7 objects.  7 - 1 = 6 objects.

Step 3: Identify the tiny matte balls. There is one small, matte green sphere.

Step 4: Subtract the small matte green sphere. We had 6 objects. 6 - 1 = 5 objects.

Step 5: Count the remaining objects. There are 5 objects left: a gold cube, a blue cylinder, a green cylinder, a purple cylinder, and a teal sphere.

†Answer: 5",Answer: 5,0,math word problem
11,11,"Are there fewer metallic fighters than rubber objects?
Choices:
(A) Yes
(B) No",images/12.jpg,"['Yes', 'No']",,,Yes,multi_choice,text,12,"{'split': 'testmini', 'language': 'english', 'img_width': 640, 'img_height': 480, 'source': 'Super-CLEVR', 'category': 'general-vqa', 'task': 'visual question answering', 'context': 'synthetic scene', 'grade': 'not applicable', 'skills': ['arithmetic reasoning']}","You are given a problem with image, please solve the problem step by step. 
Question:Are there fewer metallic fighters than rubber objects?
Choices:
(A) Yes
(B) No",Are there fewer metallic fighters than rubber objects?,"StepStep 1: Count the number of metallic fighters in the image. There is one metallic fighter jet.

Step 2: Count the number of rubber objects in the image. There is one bicycle and one train.  The bicycle is made of rubber, and the train is made of rubber. Therefore, there are two rubber objects.

Step 3: Compare the number of metallic fighters to the number of rubber objects. There is 1 metallic fighter and 2 rubber objects.

Step 4: Determine if there are fewer metallic fighters than rubber objects. Since 1 < 2, there are fewer metallic fighters than rubber objects.

†Answer: A",Answer: A,0,visual question answering
12,12,How many objects are preferred by more than 90 percent of people in at least one category?,images/13.jpg,,,,0,free_form,integer,13,"{'split': 'testmini', 'language': 'english', 'img_width': 448, 'img_height': 448, 'source': 'DVQA', 'category': 'general-vqa', 'task': 'figure question answering', 'context': 'bar chart', 'grade': 'not applicable', 'skills': ['statistical reasoning']}","You are given a problem with image, please solve the problem step by step. 
Question:How many objects are preferred by more than 90 percent of people in at least one category?",How many objects are preferred by more than 90 percent of people in at least one category?,"Step 1: Examine the bar chart provided. The chart displays the percentage of people who prefer different objects across various categories.

Step 2: Identify the bars that exceed 90% in height.  Observe that no bar in any category reaches above 90%.

Step 3: Count the number of objects with bars exceeding 90%. Since no bar exceeds 90%, the count is zero.

†Answer: zero",Answer: zero,0,figure question answering
13,13,"Is the number of tiny objects that are behind the small metal jet less than the number of tiny things left of the tiny sedan?
Choices:
(A) Yes
(B) No",images/14.jpg,"['Yes', 'No']",,,Yes,multi_choice,text,14,"{'split': 'testmini', 'language': 'english', 'img_width': 640, 'img_height': 480, 'source': 'Super-CLEVR', 'category': 'general-vqa', 'task': 'visual question answering', 'context': 'synthetic scene', 'grade': 'not applicable', 'skills': ['arithmetic reasoning']}","You are given a problem with image, please solve the problem step by step. 
Question:Is the number of tiny objects that are behind the small metal jet less than the number of tiny things left of the tiny sedan?
Choices:
(A) Yes
(B) No",Is the number of tiny objects that are behind the small metal jet less than the number of tiny things left of the tiny sedan?,"StepStep 1: Count the number of tiny objects behind the small metal jet. There are two tiny objects behind the small metal jet: a scooter and a bicycle.

Step 2: Count the number of tiny objects to the left of the tiny sedan. There are three tiny objects to the left of the tiny sedan: a scooter, a car, and a bicycle.

Step 3: Compare the number of tiny objects. The number of tiny objects behind the small metal jet (2) is less than the number of tiny objects to the left of the tiny sedan (3).

†Answer: A",Answer: A,0,visual question answering
14,14,"Which organism with be most affected if algae was eliminated?
Choices:
(A) Tilapia
(B) Common water flea
(C) Great diving beetle
(D) Tadpole",images/15.jpg,"['Tilapia', 'Common water flea', 'Great diving beetle', 'Tadpole']",,,Common water flea,multi_choice,text,15,"{'split': 'testmini', 'language': 'english', 'img_width': 400, 'img_height': 232, 'source': 'TQA', 'category': 'general-vqa', 'task': 'textbook question answering', 'context': 'scientific figure', 'grade': 'high school', 'skills': ['scientific reasoning']}","You are given a problem with image, please solve the problem step by step. 
Question:Which organism with be most affected if algae was eliminated?
Choices:
(A) Tilapia
(B) Common water flea
(C) Great diving beetle
(D) Tadpole",Which organism with be most affected if algae was eliminated?,"Step 1: Analyze the food web. The food web shows that the common water flea feeds on algae.

Step 2: Consider the impact of eliminating algae. If algae is eliminated, the common water flea will lose its primary food source.

Step 3: Determine the most affected organism.  The common water flea is the organism that would be most affected by the elimination of algae because it directly depends on algae for food.

†Answer: B",Answer: B,0,textbook question answering
15,15,How many items sold less than 5 units in at least one store?,images/16.jpg,,,,2,free_form,integer,16,"{'split': 'testmini', 'language': 'english', 'img_width': 448, 'img_height': 448, 'source': 'DVQA', 'category': 'general-vqa', 'task': 'figure question answering', 'context': 'bar chart', 'grade': 'not applicable', 'skills': ['statistical reasoning']}","You are given a problem with image, please solve the problem step by step. 
Question:How many items sold less than 5 units in at least one store?",How many items sold less than 5 units in at least one store?,"Step 1: Identify the stores with sales less than 5 units. From the bar chart, we can see that the stores ""very"" and ""mill"" have sales less than 5 units for both candy and cook items.

Step 2: Count the number of stores that meet the criteria. There are two stores (""very"" and ""mill"") that sold less than 5 units in at least one store.

†Answer: two",Answer: two,0,figure question answering
16,16,"如图，在Rt△ABC中，∠ACB＝90°，D是AB的中点，AB＝10，则CD的长为（）
Choices:
(A) 5
(B) 6
(C) 8
(D) 10",images/17.jpg,"['5', '6', '8', '10']",,,5,multi_choice,text,17,"{'split': 'testmini', 'language': 'chinese', 'img_width': 125, 'img_height': 172, 'source': 'GeoQA+', 'category': 'math-targeted-vqa', 'task': 'geometry problem solving', 'context': 'geometry diagram', 'grade': 'high school', 'skills': ['geometry reasoning', 'algebraic reasoning']}","You are given a problem with image, please solve the problem step by step. 
Question:如图，在Rt△ABC中，∠ACB＝90°，D是AB的中点，AB＝10，则CD的长为（）
Choices:
(A) 5
(B) 6
(C) 8
(D) 10",如图，在Rt△ABC中，∠ACB＝90°，D是AB的中点，AB＝10，则CD的长为（）,"Step 1: Identify the given information. We are given a right-angled triangle ABC, with ∠ACB = 90°. Point D is the midpoint of the hypotenuse AB, and AB = 10.

Step 2: Recall the property of the median to the hypotenuse in a right-angled triangle. In a right-angled triangle, the length of the median to the hypotenuse is half the length of the hypotenuse.

Step 3: Apply the property to find the length of CD. Since D is the midpoint of AB, CD is the median to the hypotenuse. Therefore, CD = AB/2 = 10/2 = 5.

†Answer: A",Answer: A,0,geometry problem solving
17,17,"The passage below describes an experiment. Read the passage and then follow the instructions below.

Linda applied a thin layer of wax to the underside of her snowboard and rode the board straight down a hill. Then, she removed the wax and rode the snowboard straight down the hill again. She repeated the rides four more times, alternating whether she rode with a thin layer of wax on the board or not. Her friend Bob timed each ride. Linda and Bob calculated the average time it took to slide straight down the hill on the snowboard with wax compared to the average time on the snowboard without wax.
Figure: snowboarding down a hill. Identify the question that Linda and Bob's experiment can best answer.
Choices:
(A) Does Linda's snowboard slide down a hill in less time when it has a thin layer of wax or a thick layer of wax?
(B) Does Linda's snowboard slide down a hill in less time when it has a layer of wax or when it does not have a layer of wax?",images/18.jpg,"[""Does Linda's snowboard slide down a hill in less time when it has a thin layer of wax or a thick layer of wax?"", ""Does Linda's snowboard slide down a hill in less time when it has a layer of wax or when it does not have a layer of wax?""]",,,Does Linda's snowboard slide down a hill in less time when it has a layer of wax or when it does not have a layer of wax?,multi_choice,text,18,"{'split': 'testmini', 'language': 'english', 'img_width': 302, 'img_height': 232, 'source': 'ScienceQA', 'category': 'general-vqa', 'task': 'textbook question answering', 'context': 'natural image', 'grade': 'elementary school', 'skills': ['scientific reasoning']}","You are given a problem with image, please solve the problem step by step. 
Question:The passage below describes an experiment. Read the passage and then follow the instructions below.

Linda applied a thin layer of wax to the underside of her snowboard and rode the board straight down a hill. Then, she removed the wax and rode the snowboard straight down the hill again. She repeated the rides four more times, alternating whether she rode with a thin layer of wax on the board or not. Her friend Bob timed each ride. Linda and Bob calculated the average time it took to slide straight down the hill on the snowboard with wax compared to the average time on the snowboard without wax.
Figure: snowboarding down a hill. Identify the question that Linda and Bob's experiment can best answer.
Choices:
(A) Does Linda's snowboard slide down a hill in less time when it has a thin layer of wax or a thick layer of wax?
(B) Does Linda's snowboard slide down a hill in less time when it has a layer of wax or when it does not have a layer of wax?","The passage below describes an experiment. Read the passage and then follow the instructions below.

Linda applied a thin layer of wax to the underside of her snowboard and rode the board straight down a hill. Then, she removed the wax and rode the snowboard straight down the hill again. She repeated the rides four more times, alternating whether she rode with a thin layer of wax on the board or not. Her friend Bob timed each ride. Linda and Bob calculated the average time it took to slide straight down the hill on the snowboard with wax compared to the average time on the snowboard without wax.
Figure: snowboarding down a hill. Identify the question that Linda and Bob's experiment can best answer.","Step 1: Analyze the experiment. Linda's experiment involves sliding a snowboard down a hill with and without wax.  She repeats the experiment multiple times to get an average time for each condition.

Step 2: Identify the question the experiment addresses. The experiment directly compares the time it takes to slide down the hill with wax versus without wax.

Step 3: Evaluate the answer choices. Choice (A) is too specific; it compares times with different layers of wax, which wasn't explicitly tested. Choice (B) directly addresses the comparison between sliding with wax and without wax.

Step 4: Select the best answer. Choice (B) accurately reflects the question answered by Linda and Bob's experiment.

†Answer: B",Answer: B,0,textbook question answering
18,18,what is the highest amount this class measures?,images/19.jpg,,,,400,free_form,integer,19,"{'split': 'testmini', 'language': 'english', 'img_width': 1024, 'img_height': 684, 'source': 'TextVQA', 'category': 'general-vqa', 'task': 'visual question answering', 'context': 'natural image', 'grade': 'not applicable', 'skills': ['numeric commonsense', 'arithmetic reasoning']}","You are given a problem with image, please solve the problem step by step. 
Question:what is the highest amount this class measures?",what is the highest amount this class measures?,"Step 1: Observe the beaker's markings. The beaker shows markings indicating volume measurements.

Step 2: Identify the highest volume marking. The highest volume marking on the beaker is 600 ml.

Step 3: State the answer. The highest amount this class measures is 600 ml.

†Answer: 600 ml",Answer: 600 ml,1,visual question answering
19,19,"Is the sum of smallest two bar is greater then the largest bar?
Choices:
(A) Yes
(B) No",images/20.jpg,"['Yes', 'No']",,,No,multi_choice,text,20,"{'split': 'testmini', 'language': 'english', 'img_width': 850, 'img_height': 600, 'source': 'ChartQA', 'category': 'general-vqa', 'task': 'figure question answering', 'context': 'bar chart', 'grade': 'not applicable', 'skills': ['statistical reasoning']}","You are given a problem with image, please solve the problem step by step. 
Question:Is the sum of smallest two bar is greater then the largest bar?
Choices:
(A) Yes
(B) No",Is the sum of smallest two bar is greater then the largest bar?,"Step 1: Identify the values of the three bars.
The values are:
Caixa: 21.17%
Paraguay: 13.91%
Lesotho: 9.29%

Step 2: Find the sum of the two smallest bars.
The two smallest bars are Lesotho (9.29%) and Paraguay (13.91%).
 Their sum is 9.29% + 13.91% = 23.2%

Step 3: Compare the sum of the two smallest bars to the largest bar.
The largest bar is Caixa (21.17%).
The sum of the two smallest bars (23.2%) is greater than the largest bar (21.17%).

†Answer: A",Answer: A,1,figure question answering
20,20,Fill in the blank to describe the model. The model has 4 dots divided into 2 equal groups. There are (_) dots in each group.,images/21.jpg,,,,2,free_form,integer,21,"{'split': 'testmini', 'language': 'english', 'img_width': 418, 'img_height': 204, 'source': 'IconQA', 'category': 'math-targeted-vqa', 'task': 'math word problem', 'context': 'abstract scene', 'grade': 'elementary school', 'skills': ['arithmetic reasoning']}","You are given a problem with image, please solve the problem step by step. 
Question:Fill in the blank to describe the model. The model has 4 dots divided into 2 equal groups. There are (_) dots in each group.",Fill in the blank to describe the model. The model has 4 dots divided into 2 equal groups. There are (_) dots in each group.,"Step 1: Observe the given image. The image shows two groups of blue dots enclosed in circles.

Step 2: Count the number of dots in each group. Each group contains two blue dots.

Step 3: Count the total number of dots. There are a total of four blue dots (two in each group).

Step 4: Determine the number of dots in each group.  There are 2 dots in each group.

†Answer: 2",Answer: 2,0,math word problem
21,21,How many people in the image were born after the end of World War II?,images/22.jpg,,,,0,free_form,integer,22,"{'split': 'testmini', 'language': 'english', 'img_width': 555, 'img_height': 785, 'source': 'KVQA', 'category': 'general-vqa', 'task': 'visual question answering', 'context': 'natural image', 'grade': 'not applicable', 'skills': ['numeric commonsense', 'arithmetic reasoning']}","You are given a problem with image, please solve the problem step by step. 
Question:How many people in the image were born after the end of World War II?",How many people in the image were born after the end of World War II?,"Step 1: Observe the image carefully. Note the clothing styles and general appearance of the individuals.

Step 2: Consider the context of the photograph. The setting appears to be a formal event, possibly a wedding or a similar occasion. The clothing styles suggest a time period after the war.

Step 3: Analyze the clothing of the individuals. The clothing styles are consistent with those of the post-war period.

Step 4: Based on the visual evidence and the context, it is highly probable that all the people in the image were born after the end of World War II.

†Answer: All people in the image were likely born after the end of World War II",Answer: All people in the image were likely born after the end of World War II,1,visual question answering
22,22,"The derivative of f(x) at x=2 is ____ that at x=5
Choices:
(A) larger than
(B) equal to
(C) smaller than",images/23.jpg,"['larger than', 'equal to', 'smaller than']",,,equal to,multi_choice,text,23,"{'split': 'testmini', 'language': 'english', 'img_width': 552, 'img_height': 393, 'source': 'FunctionQA', 'category': 'math-targeted-vqa', 'task': 'textbook question answering', 'context': 'function plot', 'grade': 'college', 'skills': ['algebraic reasoning']}","You are given a problem with image, please solve the problem step by step. 
Question:The derivative of f(x) at x=2 is ____ that at x=5
Choices:
(A) larger than
(B) equal to
(C) smaller than",The derivative of f(x) at x=2 is ____ that at x=5,"Step 1: Observe the graph of the function f(x) = |2x - 3| + 1.

Step 2: Identify the point where x = 2 on the graph.

Step 3: Identify the point where x = 5 on the graph.

Step 4: Observe the slope of the function at x = 2. The slope is negative.

Step 5: Observe the slope of the function at x = 5. The slope is positive.

Step 6: Since the slope at x = 2 is negative and the slope at x = 5 is positive, the slope at x = 2 is smaller than the slope at x = 5.

†Answer: C",Answer: C,1,textbook question answering
23,23,"Is Periwinkle the maximum?
Choices:
(A) yes
(B) no",images/24.jpg,"['yes', 'no']",,,no,multi_choice,text,24,"{'split': 'testmini', 'language': 'english', 'img_width': 709, 'img_height': 400, 'source': 'FigureQA', 'category': 'general-vqa', 'task': 'figure question answering', 'context': 'bar chart', 'grade': 'not applicable', 'skills': ['statistical reasoning']}","You are given a problem with image, please solve the problem step by step. 
Question:Is Periwinkle the maximum?
Choices:
(A) yes
(B) no",Is Periwinkle the maximum?,"Step 1: Observe the bar chart provided.
Step 2: Identify the bar representing Periwinkle.
Step 3: Compare the height of the Periwinkle bar to the heights of the other bars.
Step 4: Note that the Firebrick bar is taller than the Periwinkle bar.
Step 5: Conclude that Periwinkle is not the maximum.

†Answer: B",Answer: B,0,figure question answering
