,id,question,options,answer,solution,level,subject,image,model_answer,extraction,match
10,11,"Mike has built a construction, shown in the upper picture, from equal cubes. Lily has taken several cubes out of it, thus Mike's construction became such as we see in the lower picture. How many cubes has Lily taken?
<image1>",[],7,,1,solid geometry,images/11.jpg,"Step 1: The upper figure has 4 layers, with each layer having 4x4=16 small cubes, so the total number of small cubes is 4x16=64.
Step 2: The lower figure has 3 layers, with the first and second layers each having 4x4=16 small cubes, and the third layer having 4x4-4=12 small cubes, so the total number of small cubes is 16+16+12=44.
Step 3: The number of small cubes taken by Lily is 64-44=20.
†Answer: 20",Answer: 20,1
11,12,"Now it is 2008. What is the total sum of these digits?
<image1>",[],10,,2,arithmetic,images/12.jpg,"Step 1: The digits in 2008 are 2, 0, 0, and 8.
Step 2: 2 + 0 + 0 + 8 = 10.
†Answer: 10",Answer: 10,0
12,13,"Which of these figures differs from the rest four?
<image1> A. A B. B C. C D. D E. E","['A', 'B', 'C', 'D', 'E']",E,,2,transformation geometry,images/13.jpg,"Step 1: Observe the figures A, B, C, D, and E.
Step 2: Figures A, B, C, and D are all upright, while figure E is upside down.
Step 3: Figure E is different from the other four figures.
†Answer: E",Answer: E,0
13,14,"Mary has written all the numbers from 1 to 30 . How many times has she written digit 2?
<image1>",[],13,,1,counting,images/14.jpg,"Step 1: The numbers containing the digit 2 from 1 to 30 are: 2, 12, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29.
Step 2: Count the occurrences of the digit 2 in each number.
Step 3: 2 appears once in 2.
Step 4: 2 appears once in 12.
Step 5: 2 appears once in 20.
Step 6: 2 appears once in 21.
Step 7: 2 appears twice in 22.
Step 8: 2 appears once in 23.
Step 9: 2 appears once in 24.
Step 10: 2 appears once in 25.
Step 11: 2 appears once in 26.
Step 12: 2 appears once in 27.
Step 13: 2 appears once in 28.
Step 14: 2 appears once in 29.
Step 15: 2 appears 12 times in total.
†Answer: 12",Answer: 12,1
14,15,"Emily celebrated her birthday on Thursday, and her sister Liepa 8 days earlier. Which weekday was that?
<image1> A. Wednesday B. Thursday C. Friday D. Tuesday E. Sunday","['Wednesday', 'Thursday', 'Friday', 'Tuesday', 'Sunday']",A,,2,arithmetic,images/15.jpg,"Step 1: Emily's birthday is on Thursday.
Step 2: 8 days before Thursday is 7 days before Thursday plus 1 day.
Step 3: 7 days before Thursday is still Thursday.
Step 4: 1 day before Thursday is Wednesday.
†Answer: Wednesday",Answer: Wednesday,0
15,16,"How many points are there in the three unseen sides of dice?
<image1>",[],11,,2,arithmetic,images/16.jpg,"Step 1: The sum of the points on the six faces of the dice is 1+2+3+4+5+6=21.
Step 2: The sum of the points on the visible faces is 1+2+3=6.
Step 3: The sum of the points on the invisible faces is 21-6=15.
†Answer: 15",Answer: 15,1
16,17,"A jump of a little kangaroo is three times shorter than its mother's. How many jumps should the little kangaroo make to cover the distance equal to 7 jumps of its mother?
<image1>",[],21,,2,arithmetic,images/17.jpg,"Step 1: The distance of the mother kangaroo's one jump is 3 times the distance of the baby kangaroo's one jump.
Step 2: The distance of 7 jumps of the mother kangaroo is 7 * 3 = 21 jumps of the baby kangaroo.
Step 3: The baby kangaroo needs to jump 21 times to cover the same distance as 7 jumps of the mother kangaroo.
†Answer: 21",Answer: 21,0
17,18,"A fifteen-meter log has to be sawn into three-meter pieces. How many cuts are needed for that?
<image1>",[],4,,2,arithmetic,images/18.jpg,"Step 1: A 15-meter long wooden strip needs to be sawn into 3-meter pieces.
Step 2: 15 meters ÷ 3 meters = 5 pieces.
Step 3: To sawn into 5 pieces, 5-1 cuts are needed.
Step 4: 5-1 = 4 cuts.
†Answer: 4",Answer: 4,0
18,19,"Eve has taken 2 bananas to school. At first she changed each of them into 4 apples, later on she exchanged each apple into 3 mandarins. How many mandarins has Eve got? <image1> A. $2+4+3$ B. $2 \cdot 4+3$ C. $2+4 \cdot 3$ D. $2 \cdot 4 \cdot 3$ E. $2+4-3$","['$2+4+3$', '$2 \\cdot 4+3$', '$2+4 \\cdot 3$', '$2 \\cdot 4 \\cdot 3$', '$2+4-3$']",D,,2,arithmetic,images/19.jpg,"Step 1: Each banana is exchanged for 4 apples, so 2 bananas are exchanged for 2 × 4 = 8 apples.
Step 2: Each apple is exchanged for 3 mandarins, so 8 apples are exchanged for 8 × 3 = 24 mandarins.
Step 3: Therefore, Eve receives a total of 24 mandarins.
†Answer: 2 \cdot 4 \cdot 3",Answer: 2 \cdot 4 \cdot 3,0
19,20,"How many plums (see the picture) weigh as much as an apple?
<image1>",[],3,,2,arithmetic,images/20.jpg,"Step 1: According to the image, 3 apples weigh the same as 9 plums.
Step 2: 3 apples = 9 plums.
Step 3: 1 apple = 9 plums / 3.
Step 4: 1 apple = 3 plums.
†Answer: 3",Answer: 3,0
20,21,"Which of the figures shown bellow cannot be cut out of the figure illustrated nearby?
<image1>
<image2> A. A B. B C. C D. D E. E","['A', 'B', 'C', 'D', 'E']",E,,1,combinatorial geometry,images/21.jpg,"Step 1: Observe the shape in Figure 1 and the shapes in Figure 2.
Step 2: Determine which shape in Figure 2 cannot be cut from the shape in Figure 1.
Step 3: Shape A can be cut from Figure 1.
Step 4: Shape B can be cut from Figure 1.
Step 5: Shape C can be cut from Figure 1.
Step 6: Shape D can be cut from Figure 1.
Step 7: Shape E cannot be cut from Figure 1.
†Answer: E",Answer: E,0
21,22,"What time is it now, if after 6 hours and 30 minutes the clock will show 4:00?
<image1> A. 10:00 B. 10:30 C. 2:30 D. 22:10 E. 21:30","['10:00', '10:30', '2:30', '22:10', '21:30']",E,,2,arithmetic,images/22.jpg,"Step 1: The clock will show 4:00 in 6 hours and 30 minutes.
Step 2: Subtracting 6 hours from 4:00 gives 10:00.
Step 3: Subtracting 30 minutes from 10:00 gives 9:30.
Step 4: Therefore, the current time is 9:30.  However, this is not one of the options. There must be a mistake in the problem statement or the provided solution.  Let's re-examine the options. Option C, 2:30, is the only option that makes sense given the 6-hour and 30-minute addition.
Step 5: If the current time is 2:30, adding 6 hours and 30 minutes results in 9:00, which is close to 4:00.  There's a discrepancy in the problem statement or solution.  The closest option is C.

†Answer: C",Answer: C,1
22,23,"Tom bought a chocolate heart (see the picture) to Mary on her birthday.
<image1>
How many grams did the chocolate weigh, if each square weighs 10 grams?",[],140,,1,combinatorial geometry,images/23.jpg,"Step 1: The chocolate heart is composed of 14 squares.
Step 2: Each square weighs 10 grams.
Step 3: Total weight = 14 squares × 10 grams/square.
Step 4: Total weight = 140 grams.
†Answer: 140",Answer: 140,0
23,24,"A trip of the pupils to the zoo took 135 minutes.
<image1>
How many hours and minutes does it make? A. 3 h 5 min B. 2 h 15 min C. 1 h 35 min D. 2 h 35 min E. 3 h 35 min","['3 h 5 min', '2 h 15 min', '1 h 35 min', '2 h 35 min', '3 h 35 min']",B,,2,arithmetic,images/24.jpg,"Step 1: 135 minutes = 135 ÷ 60 hours.
Step 2: 135 ÷ 60 = 2 hours with a remainder of 15 minutes.
Step 3: 135 minutes = 2 hours 15 minutes.
†Answer: 2h15min",Answer: 2h15min,0
24,25,"A wooden block has 8 vertices. One vertex is cut off now (see the picture).
<image1>
How many vertices has the block now?",[],10,,1,solid geometry,images/25.jpg,"Step 1: The original block has 8 vertices.
Step 2: Cutting off one vertex introduces 3 new vertices.
Step 3: The number of vertices after cutting off one vertex is 8 - 1 + 3.
Step 4: 8 - 1 + 3 = 10.
†Answer: 10",Answer: 10,0
25,26,"The ladybird would like to sit on his flower. The flower has five petals and the stem has three leaves. On which flower should the ladybird sit?
<image1> A. A B. B C. C D. D E. E","['A', 'B', 'C', 'D', 'E']",B,,1,counting,images/26.jpg,"Step 1: The ladybug needs to sit on a flower with 5 petals and 3 leaves.
Step 2: Observe the flowers in the image and find the one that matches the description.
Step 3: Flower A has 5 petals and 3 leaves.
†Answer: A",Answer: A,1
26,27,"Theresa moves a pencil along the line. She starts at the arrow shown. In which order will she go past the shapes?
<image1> A. $\Delta, \square, \bullet$ B. $\Delta, \bullet, \square$ C. $\bullet, \Delta, \square$ D. $\square, \Delta, \bullet$ E. $\square, \bullet, \Delta$","['$\\Delta, \\square, \\bullet$', '$\\Delta, \\bullet, \\square$', '$\\bullet, \\Delta, \\square$', '$\\square, \\Delta, \\bullet$', '$\\square, \\bullet, \\Delta$']",A,,5,topology,images/27.jpg,"Step 1: The pencil starts at the arrow's position.
Step 2: The pencil will first pass the square.
Step 3: Then, it will pass the triangle.
Step 4: Finally, it will pass the circle.
Step 5: Therefore, the order is square, triangle, circle.
†Answer: E",Answer: E,1
27,28,"There are more grey squares than white. How many more?
<image1>",[],9,,1,counting,images/28.jpg,"Step 1: There are 13 grey squares.
Step 2: There are 12 white squares.
Step 3: 13 - 12 = 1.
†Answer: 1",Answer: 1,1
28,29,"A big square is made from 25 small squares put together. A few of the small squares have been lost. How many have been lost?
<image1>",[],10,,1,counting,images/29.jpg,"Step 1: The large square is composed of 25 small squares.
Step 2: Count the number of small squares in the image, there are 17.
Step 3: The number of missing small squares is 25 - 17.
Step 4: 25 - 17 = 8.
†Answer: 8",Answer: 8,1
29,30,"Put the animals in order of size. Begin with the smallest. Which animal will be in the middle?
<image1>",[],2,,1,metric geometry - area,images/30.jpg,"Step 1: Observe the image and identify the animals. The animals are a monkey, a giraffe, an ostrich, a tiger, and a rhino.

Step 2: Compare the sizes of the animals. The monkey is the smallest, followed by the tiger, then the giraffe, then the rhino, and finally the ostrich.

Step 3: Arrange the animals in order of size from smallest to largest. The order is: monkey, tiger, giraffe, rhino, ostrich.

Step 4: Identify the animal in the middle of the order. The animal in the middle is the giraffe.

†Answer: 3",Answer: 3,1
30,31,"How many ducks weigh the same as a crocodile?
<image1>
<image2> A. A B. B C. C D. D E. E","['A', 'B', 'C', 'D', 'E']",B,,2,arithmetic,images/31.jpg,"Step 1: According to the image, one crocodile weighs the same as two monkeys.
Step 2: According to the image, two monkeys weigh the same as four ducks.
Step 3: Therefore, one crocodile weighs the same as four ducks.
†Answer: C",Answer: C,1
31,32,"The kangaroo is inside how many circles?
<image1>",[],3,,1,counting,images/32.jpg,"Step 1: Observe the image, the kangaroo is inside 3 circles.
†Answer: 3",Answer: 3,0
32,33,"When the ant <image1> walks from home <image2> along the arrows $\rightarrow 3, \uparrow 3, \rightarrow 3, \uparrow 1$, he gets to the ladybird <image3>.
Which animal does the ant <image1> get to when he walks from home <image2> along the following arrows: $\rightarrow 2, \downarrow 2, \rightarrow 3, \uparrow 3, \rightarrow 2, \uparrow 2$?
<image6>
<image7> A. A B. B C. C D. D E. E","['A', 'B', 'C', 'D', 'E']",A,,2,analytic geometry,images/33.jpg,"Step 1: The ant starts from home and follows the path $\rightarrow 2, \downarrow 2, \rightarrow 3, \uparrow 3, \rightarrow 2, \uparrow 2$.
Step 2: Following the path $\rightarrow 2$, the ant reaches the position (2, 0).
Step 3: Following the path $\downarrow 2$, the ant reaches the position (2, -2).
Step 4: Following the path $\rightarrow 3$, the ant reaches the position (5, -2).
Step 5: Following the path $\uparrow 3$, the ant reaches the position (5, 1).
Step 6: Following the path $\rightarrow 2$, the ant reaches the position (7, 1).
Step 7: Following the path $\uparrow 2$, the ant reaches the position (7, 3).
Step 8: The final position (7, 3) corresponds to animal B.
†Answer: B",Answer: B,1
33,34,"Max has cut a rectangle into two pieces. One piece looks like:
<image1>
What does the other piece look like?
<image2> A. A B. B C. C D. D E. E","['A', 'B', 'C', 'D', 'E']",E,,1,combinatorial geometry,images/34.jpg,"Step 1: Observe that the rectangle is cut into two pieces.
Step 2: One piece is a irregular shape with a pointed top.
Step 3: The other piece is a shape with a pointed bottom, matching the shape of the first piece.
Step 4: Option B shows a shape with a pointed bottom.
†Answer: B",Answer: B,1
34,35,"Seven sticks lay on top of each other. Stick 2 lays right at the bottom. Stick 6 lays right on top. Which stick lays exactly in the middle?
<image1>",[],3,,2,descriptive geometry,images/35.jpg,"Step 1: The problem states that stick 2 is at the bottom and stick 6 is at the top.
Step 2: The middle position is the 4th stick.
Step 3: According to the image, the 4th stick is stick 5.
†Answer: 5",Answer: 5,1
35,36,"The rabbit family Hoppel eat cabbages and carrots. Each day they eat either 10 carrots or 2 cabbages. In the whole of last week they ate 6 cabbages. How many carrots did the rabbit family eat last week?
<image1>",[],40,,2,arithmetic,images/36.jpg,"Step 1: The rabbit family ate 6 cabbages last week.
Step 2: Each day they eat 2 cabbages, so the number of days is 6 ÷ 2 = 3 days.
Step 3: There are 7 days in a week, so the number of days eating carrots is 7 - 3 = 4 days.
Step 4: Each day they eat 10 carrots, so the total number of carrots eaten is 4 × 10 = 40 carrots.
†Answer: 40",Answer: 40,0
36,37,"A square is cut into four pieces. Which shape can you not make with these four pieces?
<image1>
<image2> A. A B. B C. C D. D E. E","['A', 'B', 'C', 'D', 'E']",D,,1,combinatorial geometry,images/37.jpg,"Step 1: Observe the four pieces in Figure 1.
Step 2: The four pieces are two right triangles and two trapezoids.
Step 3: Try to form the shapes in Figure 2 with the four pieces.
Step 4: Shapes A, B, C, and E can be formed with the four pieces.
Step 5: Shape D cannot be formed with the four pieces.
†Answer: D",Answer: D,0
37,38,"Each of the digits 2, 3, 4 and 5 will be placed in a square. Then there will be two numbers, which will be added together. What is the biggest number that they could make?
<image1>",[],95,,2,arithmetic,images/38.jpg,"Step 1: Place the largest digits in the highest positions, so the two numbers are 53 and 42.
Step 2: 53 + 42 = 95.
†Answer: 95",Answer: 95,0
38,39,"Ingrid has 4 red, 3 blue, 2 green and 1 yellow cube. She uses them to build the following object:
<image1>
Cubes with the same colour don't touch each other. Which colour is the cube with the question mark? A. red B. blue C. green D. Yellow E. This cannot be worked out for certain.","['red', 'blue', 'green', 'Yellow', 'This cannot be worked out for certain.']",A,,3,logic,images/39.jpg,"Step 1: The bottom layer has 4 cubes, and the top layer has 1 cube.  The middle layer has 4 cubes.
Step 2: Yellow cubes can only be in the top or middle layer.
Step 3: Blue cubes must be in the bottom layer.
Step 4: Green cubes must be in the middle layer.
Step 5: Red cubes can be in the middle or bottom layer.
Step 6: The question mark is in the middle layer, and the only color that fits is green.
†Answer: Green",Answer: Green,1
39,40,"Which shape cannot be seen in every picture?
<image1> A. A B. B C. C D. D E. E","['A', 'B', 'C', 'D', 'E']",D,,1,combinatorial geometry,images/40.jpg,"Step 1: Observe each shape in the four images.
Step 2: Identify shapes that appear in all four images.
Step 3: Identify shapes that do not appear in all four images.
Step 4: The shape that does not appear in all four images is option C.
†Answer: C",Answer: C,1
40,41,"How many triangles can you find in the picture?
<image1>",[],5,,1,counting,images/41.jpg,"Step 1: There are 4 triangles in the upper part of the image.
Step 2: There are 4 triangles in the lower part of the image.
Step 3: There are a total of 4 + 4 = 8 triangles.
†Answer: 8",Answer: 8,1
41,42,"Which part of the house is missing?
<image1>
<image2> A. A B. B C. C D. D E. E","['A', 'B', 'C', 'D', 'E']",E,,1,combinatorial geometry,images/42.jpg,"Step 1: Observe the missing part in the house.
Step 2: Compare the missing part with the options.
Step 3: The missing part matches option C.
†Answer: C",Answer: C,1
42,43,"How many dots do all ladybirds have together?
<image1>",[],19,,1,counting,images/43.jpg,"Step 1: Each ladybug has 6 spots.
Step 2: There are 5 ladybugs in the image.
Step 3: 6 spots/ladybug × 5 ladybugs = 30 spots.
†Answer: 30",Answer: 30,1
43,44,"Florian has 10 equally long metal strips with equally many holes.
<image1>
He bolts the metal strips together in pairs. Now he has five long strips (see the diagram).
<image2>
Which of the long strips is the shortest? A. A B. B C. C D. D E. E","['A', 'B', 'C', 'D', 'E']",B,,1,counting,images/44.jpg,"Step 1: Observe the five long strips formed by combining two metal strips each.
Step 2: Compare the lengths of the long strips A, B, C, D, and E.
Step 3: Identify the shortest long strip among them.
Step 4: The shortest long strip is B.
†Answer: B",Answer: B,0
44,45,"Which of the kangaroo cards shown below can be turned around so that it then looks the same as the card shown on the right?
<image1>
<image2> A. A B. B C. C D. D E. E","['A', 'B', 'C', 'D', 'E']",E,,2,transformation geometry,images/45.jpg,"Step 1: Observe the image on the right and note its shape and orientation.
Step 2: Examine each option in image 2 and determine which one, when rotated, matches the image on the right.
Step 3: Option C, when rotated 180 degrees, matches the image on the right.
†Answer: C",Answer: C,1
45,46,"What do you see if you look at the tower, which is made up of two building blocks, exactly from above?
<image1>
<image2> A. A B. B C. C D. D E. E","['A', 'B', 'C', 'D', 'E']",A,,2,descriptive geometry,images/46.jpg,"Step 1: The image shows a tower composed of a cone on top of a cylinder.
Step 2: Looking from above, the cone's base and the cylinder's top surface are visible.
Step 3: The combined shape from above appears as a circle.
Step 4: Option A represents a circle.
†Answer: A",Answer: A,0
46,47,"How many numbers are outside the square?
<image1>",[],2,,1,counting,images/47.jpg,"Step 1: The numbers in the circle are 52, 48, 9, 24, 21, 36.
Step 2: The numbers in the square are 9, 24, 21, 36.
Step 3: The numbers outside the square are 52 and 48.
Step 4: There are 2 numbers outside the square.
†Answer: 2",Answer: 2,0
47,48,"Michael has two building blocks. Each building block is made up of two cubes glued together. Which figure can he not make using the blocks?
<image1>
<image2> A. A B. B C. C D. D E. E","['A', 'B', 'C', 'D', 'E']",B,,1,combinatorial geometry,images/48.jpg,"Step 1: Each building block consists of two cubes.
Step 2: Figure A is made up of four cubes, so it cannot be formed using the given blocks.
Step 3: Figures B, C, D, and E can each be formed using the given blocks.
†Answer: A",Answer: A,1
48,49,"Every one of these six building blocks consists of 5 little cubes. The little cubes are either white or grey. Cubes of equal colour don't touch each other. How many little white cubes are there in total?
<image1>",[],12,,1,solid geometry,images/49.jpg,"Step 1: Each small block consists of 5 small cubes, with 1 white and 4 grey cubes.
Step 2: There are 6 small blocks in total.
Step 3: Each small block has 1 white cube, so there are 6 white cubes in total.
†Answer: 6",Answer: 6,1
49,50,"Which piece is missing?
<image1>
<image2> A. A B. B C. C D. D E. E","['A', 'B', 'C', 'D', 'E']",A,,2,transformation geometry,images/50.jpg,"Step 1: Observe the pattern in Image 1, which consists of a repeating arrangement of hexagons and triangles.
Step 2: Compare the pattern in Image 1 with the triangles in Image 2.
Step 3: Identify the missing triangle in Image 2 that would complete the pattern.
Step 4: The missing triangle is the one in option B.
†Answer: B",Answer: B,1
50,51,"How many ropes can you see in this picture?
<image1>",[],3,,5,topology,images/51.jpg,"Step 1: Observe the image carefully.
Step 2: Count the number of rope ends in the image.
Step 3: There are 8 rope ends in the image.
Step 4: Since each rope has two ends, the number of ropes is half of the number of rope ends.
Step 5: 8 ÷ 2 = 4.
†Answer: 4",Answer: 4,1
51,52,"Which point in the labyrinth can we get to, starting at point $O$?
<image1> A. A B. B C. C D. D E. E","['A', 'B', 'C', 'D', 'E']",C,,1,graph theory,images/52.jpg,"Step 1: The question asks which point in the maze can be reached from point O.
Step 2: From the diagram, it is clear that only point E is directly connected to point O.
†Answer: E",Answer: E,1
52,53,"Max has 10 dice. Which one of the following solids can he build with them?
<image1> A. A B. B C. C D. D E. E","['A', 'B', 'C', 'D', 'E']",A,,1,combinatorial geometry,images/53.jpg,"Step 1: Figure A has 7 cubes.
Step 2: Figure B has 8 cubes.
Step 3: Figure C has 7 cubes.
Step 4: Figure D has 9 cubes.
Step 5: Figure E has 8 cubes.
Step 6: 10 is closest to 9.
†Answer: D",Answer: D,1
53,54,"A hen lays white and brown eggs. Lisa takes six of them and puts them in a box as shown. The brown eggs are not allowed to touch each other. What is the maximum number of brown eggs Lisa can place in the box?
<image1>",[],3,,1,combinatorics,images/54.jpg,"Step 1: According to the problem, the brown eggs cannot touch each other.
Step 2: Place the white eggs first, then find the positions to place the brown eggs.
Step 3: There are 4 positions where brown eggs can be placed.
Step 4: The maximum number of brown eggs that can be placed is 4.
†Answer: 4",Answer: 4,1
54,55,"Gerda walks along the road and writes down the letters she can see on her right hand side. Which word is formed while Gerda walks from point 1 to point 2?
<image1> A. KNAO B. KNGO C. KNR D. AGRO E. KAO","['KNAO', 'KNGO', 'KNR', 'AGRO', 'KAO']",A,,1,combinatorics,images/55.jpg,"Step 1: Gerda starts from point 1 and walks towards point 2.
Step 2: The letters visible on the right side of Gerda's hand are K, A, O, and N.
Step 3: The letters form the word KNAO.
†Answer: KNAO",Answer: KNAO,0
55,56,"Konrad has some pieces of cardboard which all look like this:
<image1>
Which of the shapes below can he not make out of these pieces?
<image2> A. A B. B C. C D. D E. E","['A', 'B', 'C', 'D', 'E']",D,,1,combinatorial geometry,images/56.jpg,"Step 1: Analyze the shape of the cardboard pieces and the target shapes.
Step 2: Determine which target shapes cannot be formed using the given cardboard pieces.
Step 3: Eliminate options that can be formed.
Step 4: Identify the option that cannot be formed.
†Answer: D",Answer: D,0
56,57,"Five sparrows are sitting on a rope (see picture). Some of them are looking to the left, some of them are looking to the right. Every sparrow whistles as many times as the number of sparrows he can see sitting in front of him. For example, the third sparrow whistles exactly twice. How often do all sparrows whistle altogether?
<image1>",[],10,,2,arithmetic,images/57.jpg,"Step 1: The first sparrow can hear the whistles of the other 4 sparrows, so it whistles 4 times.
Step 2: The second sparrow can hear the whistles of the 3 sparrows to the left, so it whistles 3 times.
Step 3: The third sparrow can hear the whistles of the 2 sparrows to the left, so it whistles 2 times.
Step 4: The fourth sparrow can hear the whistles of the 1 sparrow to the left, so it whistles 1 time.
Step 5: The fifth sparrow can hear no one whistles to the left, so it whistles 0 times.
Step 6: 4 + 3 + 2 + 1 + 0 = 10.
†Answer: 10",Answer: 10,0
57,58,"<image1>
In the picture above five ladybirds can be seen. Each one is sitting on a certain flower. A ladybird is only allowed to sit on a flower if the following conditions are met:
1) The difference between the number of points on each wing is equal to the number of leaves on the stem.
2) The number of points on the wings of the ladybird is equal to the number of petals on the flower. Which of the following flowers is without a ladybird?
<image2> A. A B. B C. C D. D E. E","['A', 'B', 'C', 'D', 'E']",E,,3,logic,images/58.jpg,"Step 1: The ladybug's wings have 12 points, and the difference between the number of points on each wing is 4.
Step 2: The number of leaves on the stem is 8, which meets the condition that the difference between the number of points on the wings is equal to the number of leaves on the stem.
Step 3: The number of points on the wings of the ladybug is 12, which matches the number of petals on the flower.
Step 4: The ladybug can sit on flower A.
Step 5: The ladybug's wings have 12 points, and the difference between the number of points on each wing is 4.
Step 6: The number of leaves on the stem is 8, which meets the condition that the difference between the number of points on the wings is equal to the number of leaves on the stem.
Step 7: The number of points on the wings of the ladybug is 12, which matches the number of petals on the flower.
Step 8: The ladybug can sit on flower B.
Step 9: The ladybug's wings have 12 points, and the difference between the number of points on each wing is 4.
Step 10: The number of leaves on the stem is 4, which does not meet the condition that the difference between the number of points on the wings is equal to the number of leaves on the stem.
Step 11: The ladybug cannot sit on flower C.
Step 12: The ladybug's wings have 12 points, and the difference between the number of points on each wing is 4.
Step 13: The number of leaves on the stem is 4, which does not meet the condition that the difference between the number of points on the wings is equal to the number of leaves on the stem.
Step 14: The ladybug cannot sit on flower D.
Step 15: The ladybug's wings have 12 points, and the difference between the number of points on each wing is 4.
Step 16: The number of leaves on the stem is 4, which does not meet the condition that the difference between the number of points on the wings is equal to the number of leaves on the stem.
Step 17: The ladybug cannot sit on flower E.
†Answer: C",Answer: C,1
58,59,"<image1>
In the picture above we see a cube in two different positions.
The six sides of the cube look like this:
<image2>
Which side is opposite to <image3>?
<image4>",[],C,,1,solid geometry,images/59.jpg,"Step 1: Observe the two positions of the cube in Image 1.
Step 2: In Image 2, the four sides of the cube are: a square with a diagonal line, a square with a horizontal line, a square with a vertical line, and a square with a diagonal line.
Step 3: In Image 3, the side of the cube is a square with a diagonal line.
Step 4: In Image 4, the sides of the cube are: a square with a diagonal line, a square with a horizontal line, a square with a vertical line, and a square with a diagonal line.
Step 5: The square with a diagonal line is opposite to the square with a horizontal line.
†Answer: B",Answer: B,1
59,60,"Ellen wants to decorate the butterfly Which butterfly can she make?
<image1>
using these 6 stickers
<image2>
<image3> A. A B. B C. C D. D E. E","['A', 'B', 'C', 'D', 'E']",A,,1,combinatorial geometry,images/60.jpg,"Step 1: Observe the butterfly in Image 1 and the butterfly in Image 3.
Step 2: Compare the butterfly in Image 1 with the butterflies in Image 3.
Step 3: Notice that the butterfly in Image 1 is the same as the butterfly in Image 3, just in a different color scheme.
Step 4: Conclude that the butterfly in Image 1 can be made using the stickers in Image 2.
†Answer: A",Answer: A,0
